# Ucuzabak kategori ağacı (export: 2026-03-31T22:36:03.993Z)
# Toplam kayıt: 690
# Satır formatı: [derinlik] Ad | slug: ... | id: ... | aktif: evet/hayır | sortOrder: ...

■ Elektronik | slug: elektronik | id: 691 | aktif: evet | sortOrder: 10
  └ Cep Telefonu | slug: cep-telefonu | id: 701 | aktif: evet | sortOrder: 10
    └ Telefon Kılıfları & Kapaklar | slug: cep-telefonu-telefon-kiliflari-ve-kapaklar | id: 962 | aktif: evet | sortOrder: 10
    └ Şarj Aletleri & Power Bank | slug: cep-telefonu-sarj-aletleri-ve-power-bank | id: 963 | aktif: evet | sortOrder: 20
  └ Laptop | slug: laptop | id: 702 | aktif: evet | sortOrder: 20
    └ Laptop Çantaları | slug: laptop-laptop-cantalari | id: 964 | aktif: evet | sortOrder: 10
    └ Adaptör & Şarj Cihazları | slug: laptop-adaptor-ve-sarj-cihazlari | id: 965 | aktif: evet | sortOrder: 20
  └ Televizyon | slug: televizyon | id: 703 | aktif: evet | sortOrder: 30
    └ Televizyon Aksesuarları | slug: televizyon-televizyon-aksesuarlari | id: 966 | aktif: evet | sortOrder: 10
    └ TV Duvar Askı Aparatları | slug: televizyon-tv-duvar-aski-aparatlari | id: 967 | aktif: evet | sortOrder: 20
  └ Tablet | slug: tablet | id: 704 | aktif: evet | sortOrder: 40
    └ Tablet Kılıfları | slug: tablet-tablet-kiliflari | id: 968 | aktif: evet | sortOrder: 10
    └ Stylus & Klavye | slug: tablet-stylus-ve-klavye | id: 969 | aktif: evet | sortOrder: 20
  └ Kulaklık | slug: kulaklik | id: 705 | aktif: evet | sortOrder: 50
    └ Bluetooth Kulaklıklar | slug: kulaklik-bluetooth-kulakliklar | id: 970 | aktif: evet | sortOrder: 10
    └ Kulaklık Kılıfları | slug: kulaklik-kulaklik-kiliflari | id: 971 | aktif: evet | sortOrder: 20
  └ Kamera | slug: kamera | id: 706 | aktif: evet | sortOrder: 60
    └ Kamera Çantaları | slug: kamera-kamera-cantalari | id: 972 | aktif: evet | sortOrder: 10
    └ Tripod & Sabitleyiciler | slug: kamera-tripod-ve-sabitleyiciler | id: 973 | aktif: evet | sortOrder: 20
  └ Telefon Aksesuarları | slug: elektronik-telefon-aksesuarlari | id: 1153 | aktif: evet | sortOrder: 70
    └ Telefon Kılıfı | slug: elektronik-telefon-aksesuarlari-telefon-kilifi | id: 1154 | aktif: evet | sortOrder: 10
